beacon_id;MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
145;52990;3567;Kontakt-SBB 52990.3567;(47.3786462195122|8.54079890243902|-1);CALIBMAP[IOS];52990.3567;47.3786462195,8.54079890244;-1
147;52760;44193;Kontakt-SBB 52760.44193;(47.3781735789474|8.54140563157895|-1);CALIBMAP[IOS];52760.44193;47.3781735789,8.54140563158;-1
162;49199;47756;Kontakt-SBB 49199.47756;(47.3778372666667|8.53796473333333|-1);CALIBMAP[IOS];49199.47756;47.3778372667,8.53796473333;-1
170;48716;59279;Kontakt-SBB 48716.59279;(47.3773286666667|8.53918416666667|-1);CALIBMAP[IOS];48716.59279;47.3773286667,8.53918416667;-1
185;47347;63910;Kontakt-SBB 47347.63910;(47.377556|8.53890066666667|-1);CALIBMAP[IOS];47347.6391;47.377556,8.53890066667;-1
193;46992;60564;Kontakt-SBB 46992.60564;(47.377544|8.53889293333333|-1);CALIBMAP[IOS];46992.60564;47.377544,8.53889293333;-1
196;46854;48123;Kontakt-SBB 46854.48123;(47.3780788421053|8.53958215789474|-1);CALIBMAP[IOS];46854.48123;47.3780788421,8.53958215789;-1
198;46647;45455;Kontakt-SBB 46647.45455;(47.3775175|8.5391855|-1);CALIBMAP[IOS];46647.45455;47.3775175,8.5391855;-1
205;46134;18681;Kontakt-SBB 46134.18681;(47.3774271764706|8.53906864171123|-1);CALIBMAP[IOS];46134.18681;47.3774271765,8.53906864171;-1
206;46038;55395;Kontakt-SBB 46038.55395;(47.3780921555555|8.53973255555556|-1);CALIBMAP[IOS];46038.55395;47.3780921556,8.53973255556;-1
210;45838;57263;Kontakt-SBB 45838.57263;(47.3779201363636|8.53959986363636|-1);CALIBMAP[IOS];45838.57263;47.3779201364,8.53959986364;-1
216;45422;51342;Kontakt-SBB 45422.51342;(47.3780616666667|8.53984066666667|-1);CALIBMAP[IOS];45422.51342;47.3780616667,8.53984066667;-1
219;45041;533;Kontakt-SBB 45041.533;(47.377574|8.53891226666667|-1);CALIBMAP[IOS];45041.533;47.377574,8.53891226667;-1
238;43771;6952;Kontakt-SBB 43771.6952;(47.3773185348837|8.53898023255814|-1);CALIBMAP[IOS];43771.6952;47.3773185349,8.53898023256;-1
256;42647;34030;Kontakt-SBB 42647.34030;(47.3779163157895|8.54006494736842|-1);CALIBMAP[IOS];42647.3403;47.3779163158,8.54006494737;-1
